exit_any,sector_grp,years_since_first_investment,flag_founding_pre2000,first_round_syndicate_size,first_round_foreign_investor_share,first_round_corporate_vc_flag,first_round_late_stage_pe_flag,first_round_investor_experience_mean,log_investor_experience_mean
0,Financial Services,5.519507186858316,0,4,0.75,0,0,101.0,4.624972813284271
0,Retail,3.1950718685831623,0,2,0.0,0,0,3937.2,8.27847904511107
0,Internet,9.697467488021903,0,4,0.5,1,0,10298.2,9.239821501298351
0,Healthcare,1.566050650239562,0,1,1.0,0,0,15.0,2.772588722239781
0,Other,1.4702258726899384,0,4,0.0,1,0,35.0,3.58351893845611
0,Software,9.360711841204655,0,3,0.6666666666666666,1,0,678.75,6.52172508351258
0,Other,7.0335386721423685,0,1,1.0,0,0,6828.1,8.828948172286296
0,Internet,7.485284052019165,0,1,0.0,0,0,53.0,3.9889840465642745
0,Internet,8.48186173853525,0,2,0.5,0,0,1096.25,7.000562328568344
0,Software,9.705681040383299,0,3,0.3333333333333333,0,1,56.0,4.04305126783455
0,Financial Services,5.9110198494182065,1,1,1.0,0,0,509.0,6.234410725718371
0,Financial Services,4.339493497604381,0,1,0.0,0,0,76.0,4.343805421853684
0,Business Support Services,8.19712525667351,0,1,1.0,0,0,53.0,3.9889840465642745
0,Logistics & Distribution,9.248459958932239,0,2,0.0,0,0,23403.5,10.060683590549347
0,Education/Training,5.1854893908282,1,1,1.0,0,0,509.0,6.234410725718371
0,Software,0.4134154688569473,0,2,0.5,0,0,19481.0,9.877246241330901
1,Internet,5.7878165639972625,0,2,0.5,0,0,38.5,3.676300671907076
0,Internet,9.957563312799453,0,2,0.5,0,0,50.5,3.9415818076696905
0,Consumer Products,2.869267624914442,0,1,0.0,0,0,7.0,2.0794415416798357
0,Financial Services,8.88432580424367,0,3,0.6666666666666666,0,1,1256.6666666666667,7.137013431296201
0,Financial Services,2.297056810403833,0,4,0.75,0,0,3192.3333333333335,8.068820582296796
0,Healthcare IT,8.424366872005475,0,1,0.0,0,0,4.0,1.6094379124341003
0,Consumer Products,1.4948665297741273,0,2,0.0,0,0,8179.5,9.009508552423132
0,Other,0.11225188227241616,0,1,0.0,0,0,2.0,1.0986122886681098
0,Retail,4.136892539356605,0,4,0.0,0,0,8512.333333333334,9.049388840918422
0,Education/Training,5.207392197125257,0,2,0.0,0,0,1558.0,7.351799869057777
0,"Automobiles, Other Vehicles & Parts",2.954140999315537,0,2,0.0,0,0,64.5,4.182050142641207
0,Healthcare IT,5.412731006160164,0,1,0.0,0,0,1.0,0.6931471805599453
0,Medical Devices & Equipment,2.5790554414784395,0,2,0.5,0,0,517.5,6.250940027669582
0,Software,5.270362765229295,0,1,1.0,0,0,560.0,6.329720905522696
0,Other,7.605749486652978,0,3,0.3333333333333333,0,0,2088.3333333333335,7.644600314807802
0,Pharmaceuticals,3.4414784394250515,0,1,1.0,0,1,6.0,1.9459101490553132
0,Financial Services,1.2046543463381245,0,5,0.0,0,0,375.8333333333333,5.9318030030499145
0,Software,4.076659822039699,0,4,0.0,0,0,1572.6666666666667,7.361163631878177
0,Software,4.591375770020534,0,1,0.0,0,0,91.0,4.5217885770490405
0,Software,4.388774811772758,0,3,1.0,0,1,473.3333333333333,6.161910309421742
0,Financial Services,1.45927446954141,0,1,1.0,0,0,467.0,6.148468295917647
0,Financial Services,1.45927446954141,0,1,1.0,0,0,467.0,6.148468295917647
0,Software,8.826830937713895,0,6,0.3333333333333333,0,0,648.3333333333334,6.4759461955343705
0,Healthcare,8.591375770020534,0,1,0.0,0,0,9.0,2.302585092994046
0,"Automobiles, Other Vehicles & Parts",3.247091033538672,1,2,0.0,0,0,23403.0,10.060662226908127
1,Other,9.582477754962355,0,1,1.0,0,0,109.0,4.700480365792417
0,Medical Devices & Equipment,8.580424366872005,0,1,0.0,0,0,11.0,2.4849066497880004
0,Software,0.3258042436687201,0,3,0.0,0,0,31.666666666666668,3.4863551900024623
0,Other,7.605749486652978,0,1,0.0,0,0,3099.0,8.039157390473237
0,Other,1.056810403832991,0,2,0.0,0,0,17.5,2.917770732084279
0,Other,8.446269678302533,1,1,1.0,0,0,5.0,1.791759469228055
