sector_grp,sum,count,rate,lo,hi
Financial Services,17,299,0.056856187290969896,0.03579781451403211,0.08915686959049543
Healthcare IT,3,51,0.058823529411764705,0.020206639422464645,0.15924626048800428
Medical Devices & Equipment,3,49,0.061224489795918366,0.02104014667296747,0.16520487835726405
Software,34,504,0.06746031746031746,0.04867384030099828,0.09279050368447281
Agribusiness,4,43,0.09302325581395349,0.03677164063171273,0.2160270364125359
Consumer Products,16,160,0.1,0.06249443583333063,0.15626252030387355
Other,55,547,0.10054844606946983,0.07806637748364706,0.12860190609910876
Internet,22,211,0.10426540284360189,0.06986847356939539,0.1528141458994215
Food,12,109,0.11009174311926606,0.0641080394211075,0.18262271992625617
Business Support Services,5,42,0.11904761904761904,0.05193803327758233,0.2500039026200968
Education/Training,14,116,0.1206896551724138,0.0732699653657183,0.19242655680642146
Retail,8,64,0.125,0.06472242663330453,0.22774561821129952
"Automobiles, Other Vehicles & Parts",7,54,0.12962962962962962,0.06423720747326257,0.2442173022236977
Pharmaceuticals,8,58,0.13793103448275862,0.07158487019718122,0.2492590943383795
Healthcare,11,77,0.14285714285714285,0.08168331639914729,0.23797270165973416
Logistics & Distribution,8,46,0.17391304347826086,0.09085791702246311,0.307233537163785
