,coef,se,OR,OR_lo,OR_hi,p
Intercept,-2.5299752270868083,0.29212891610462144,0.07966099369633596,0.044935040278728015,0.141223283151073,4.698017301908794e-18
"C(syndicate_cat, Treatment(reference='1'))[T.2]",-0.9972564576799523,0.20023220372440206,0.3688901197727789,0.24914895076425297,0.5461789826870883,6.34202565011091e-07
"C(syndicate_cat, Treatment(reference='1'))[T.3]",-2.030544129858409,0.35771092658024517,0.13126407700917395,0.0651121140844796,0.26462445821855796,1.374829229739706e-08
"C(syndicate_cat, Treatment(reference='1'))[T.4+]",-3.204103367613992,0.6041304457807383,0.040595284371152396,0.012423352848550685,0.1326515581795605,1.135027150129539e-07
"C(sector_grp, Treatment(reference='Software'))[T.Agribusiness]",0.15301321302417897,0.56966730790991,1.165340376511585,0.3815496877386008,3.559217152494538,0.7882367366624523
"C(sector_grp, Treatment(reference='Software'))[T.Automobiles, Other Vehicles & Parts]",0.45749425246953895,0.4603443838958126,1.5801096643860564,0.6409754255630421,3.8952297575106525,0.3203160110802009
"C(sector_grp, Treatment(reference='Software'))[T.Business Support Services]",0.45270968870484607,0.5221841575437561,1.5725675861066144,0.56510006722884,4.376160889522144,0.3859671674845887
"C(sector_grp, Treatment(reference='Software'))[T.Consumer Products]",0.1867132199372564,0.32768931823859443,1.2052815847538183,0.6341016273228972,2.2909635237490567,0.5688219536369469
"C(sector_grp, Treatment(reference='Software'))[T.Education/Training]",0.7241231999563228,0.34939955652049154,2.0629215370761944,1.040095621796613,4.091590406641462,0.03822080429252753
"C(sector_grp, Treatment(reference='Software'))[T.Financial Services]",-0.2244646353017545,0.31694992402615735,0.798943830607808,0.4292674742255294,1.486977893253847,0.47881969660329127
"C(sector_grp, Treatment(reference='Software'))[T.Food]",0.2672542130092817,0.3651105754652101,1.3063725010072809,0.6386815119064257,2.6720815924260792,0.46417981555293086
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare]",0.6260075063830168,0.38696397498143265,1.8701291756772822,0.8759660470300199,3.992601249303369,0.1057184158256973
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare IT]",-0.014208988955232297,0.6350039895549148,0.9858914823004165,0.2839963370764857,3.422516025658241,0.9821478493130669
"C(sector_grp, Treatment(reference='Software'))[T.Internet]",0.5546818831927027,0.300176207382227,1.741386932200889,0.9669072800112215,3.136214309612842,0.06462342914316505
"C(sector_grp, Treatment(reference='Software'))[T.Logistics & Distribution]",0.9708953707367984,0.4401349662386474,2.640307455349225,1.1143226021348631,6.256019078691355,0.02739073989843405
"C(sector_grp, Treatment(reference='Software'))[T.Medical Devices & Equipment]",-0.15949692058831688,0.6341513113296129,0.8525725928143839,0.2460032205316967,2.9547581712434736,0.8014179736248509
"C(sector_grp, Treatment(reference='Software'))[T.Other]",0.22343963601120873,0.23673105658554755,1.250370160667999,0.7861994945331557,1.9885862933774565,0.3452440857999981
"C(sector_grp, Treatment(reference='Software'))[T.Pharmaceuticals]",0.2988091911126641,0.44400601657437094,1.3482523403988231,0.5647192294980954,3.2189170802745526,0.5009571174775046
"C(sector_grp, Treatment(reference='Software'))[T.Retail]",0.6330879460392388,0.4340213585569106,1.8834175005312976,0.8044646247376102,4.409468573543007,0.1446597567583908
"C(first_investment_year, Treatment(reference=2015))[T.2016]",-0.2757676528751637,0.30447882653696573,0.7589892592479076,0.4178907739503798,1.3785054171166966,0.3650926112502658
"C(first_investment_year, Treatment(reference=2015))[T.2017]",0.24644281443290747,0.3004693684591465,1.279466014135921,0.710017027951193,2.3056253820456147,0.4121062024215164
"C(first_investment_year, Treatment(reference=2015))[T.2018]",0.02729371031223737,0.3088384231306513,1.027669595599286,0.5610089185086212,1.882509819142868,0.9295783355559043
"C(first_investment_year, Treatment(reference=2015))[T.2019]",-0.23254772521324094,0.3323856820028668,0.7925119256435658,0.41312226407244634,1.5203130087831132,0.4841570293865771
"C(first_investment_year, Treatment(reference=2015))[T.2020]",-0.09605992057177522,0.3141905328785056,0.9084095820163022,0.4907295835210491,1.6815940925714268,0.7598042944811736
"C(first_investment_year, Treatment(reference=2015))[T.2021]",0.12839325835998588,0.27534326607757753,1.1370000495636354,0.6628081968267246,1.9504422529730316,0.6409989764642768
"C(first_investment_year, Treatment(reference=2015))[T.2022]",0.46809041573123705,0.27705469905911334,1.5969417848189635,0.9278113846325898,2.7486438583750044,0.09111915858042614
"C(first_investment_year, Treatment(reference=2015))[T.2023]",0.5716972590000602,0.28280842944548495,1.7712708069557643,1.0175552359046602,3.083272692105417,0.043228025443216654
"C(first_investment_year, Treatment(reference=2015))[T.2024]",0.4727803880108636,0.314422809548217,1.6044489880488664,0.866340730454373,2.971413515212313,0.1326727137887162
flag_founding_pre2000,0.19428810685107295,0.22879589599868433,1.2144461228064238,0.7755804136301694,1.9016459921883,0.39578306648825157
first_round_foreign_investor_share,0.06024916068661792,0.1668053687416867,1.062101147431073,0.7659155568059807,1.4728240435259345,0.7179541478104036
log_max_experience,0.08484723747040311,0.030666680519404115,1.088550764227991,1.0250502626573366,1.1559850374844076,0.0056617027298107095
