,coef,se,OR,OR_lo,OR_hi,p
Intercept,-2.5582606761193936,0.2987736270514303,0.0774393154252499,0.043116642277628,0.1390842898878269,1.1040918094670427e-17
"C(sector_grp, Treatment(reference='Software'))[T.Agribusiness]",0.2927141969332184,0.5581122753713411,1.3400597425120733,0.44880545863021903,4.001199359255323,0.599950369906106
"C(sector_grp, Treatment(reference='Software'))[T.Automobiles, Other Vehicles & Parts]",0.5692389968533497,0.4510172066493814,1.7669219065381425,0.7299797502651171,4.276848806655964,0.2069046842699207
"C(sector_grp, Treatment(reference='Software'))[T.Business Support Services]",0.47040399900547564,0.5150599603219909,1.6006407198694554,0.5832758939447277,4.392519458976635,0.3610850505971347
"C(sector_grp, Treatment(reference='Software'))[T.Consumer Products]",0.320375979990811,0.3220009324136297,1.3776456341683845,0.7329086200702493,2.5895554252879385,0.31975884247753183
"C(sector_grp, Treatment(reference='Software'))[T.Education/Training]",0.7638764635777603,0.3408347260380891,2.1465812570707024,1.1005969075593849,4.186647319794156,0.025013564421571072
"C(sector_grp, Treatment(reference='Software'))[T.Financial Services]",-0.24786425011404384,0.31155044044300145,0.7804658842419132,0.42380073758132303,1.4372957440845093,0.42627442084820544
"C(sector_grp, Treatment(reference='Software'))[T.Food]",0.48119797310339135,0.35928602886366756,1.6180115759691638,0.8001230876252465,3.2719484045139704,0.18046741815983103
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare]",0.6669269407144627,0.3804490928898478,1.9482410516555597,0.9242805949049343,4.106591890254233,0.07960215106172451
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare IT]",-0.0614728151271213,0.6249738860743634,0.9403785094621914,0.2762637860585764,3.2009687323652023,0.9216459485033784
"C(sector_grp, Treatment(reference='Software'))[T.Internet]",0.6165156065701878,0.29352697251885196,1.8524620767159854,1.0420743687464114,3.293062231056548,0.03569619831173785
"C(sector_grp, Treatment(reference='Software'))[T.Logistics & Distribution]",1.0735079900603823,0.4330350186120355,2.925624581601087,1.2520409120949696,6.83626158680931,0.013173921194114785
"C(sector_grp, Treatment(reference='Software'))[T.Medical Devices & Equipment]",-0.13338741221140674,0.6275852682250976,0.8751259919314439,0.2557814435794466,2.9941401965546395,0.8316852290106147
"C(sector_grp, Treatment(reference='Software'))[T.Other]",0.32931383022026617,0.23241391111875104,1.3900140155486151,0.8814305511717563,2.1920490058496824,0.15650391379317033
"C(sector_grp, Treatment(reference='Software'))[T.Pharmaceuticals]",0.5064765731205946,0.44027158688492424,1.6594339879673714,0.7001645636846924,3.932962767966343,0.24999025061113034
"C(sector_grp, Treatment(reference='Software'))[T.Retail]",0.6562063805846565,0.4234650102249283,1.9274663733775668,0.8404903662142713,4.420189415418178,0.12123471684253272
"C(first_investment_year, Treatment(reference=2015))[T.2016]",-0.2730481771193568,0.30099551980413186,0.7610561212541104,0.4218993268204732,1.3728545718794551,0.3643273198815432
"C(first_investment_year, Treatment(reference=2015))[T.2017]",0.26911791460722684,0.2961563734133905,1.3088094597014515,0.7324663255632102,2.3386497672597493,0.363507402236389
"C(first_investment_year, Treatment(reference=2015))[T.2018]",0.0017661075290777103,0.30445617164531064,1.001767668015507,0.5515862704587167,1.819368092404933,0.9953716095830235
"C(first_investment_year, Treatment(reference=2015))[T.2019]",-0.35138543403113315,0.3275933033411776,0.7037124668445017,0.37029454955968755,1.3373441131694304,0.2834384892685171
"C(first_investment_year, Treatment(reference=2015))[T.2020]",-0.20614221674030395,0.30889254851840364,0.8137173438254017,0.4441644123849006,1.4907450871333614,0.5045428596547359
"C(first_investment_year, Treatment(reference=2015))[T.2021]",0.01820668042068064,0.27063142891009223,1.0183734324899039,0.5991632542588442,1.7308879351824178,0.946362922916234
"C(first_investment_year, Treatment(reference=2015))[T.2022]",0.4994220577254517,0.2709684736700931,1.6477686802764968,0.9688297378978944,2.802496163661626,0.0653143769235314
"C(first_investment_year, Treatment(reference=2015))[T.2023]",0.6627261049460742,0.2778985319337856,1.940073977239861,1.125305991366889,3.344767615243358,0.017089464039600447
"C(first_investment_year, Treatment(reference=2015))[T.2024]",0.5106042968595939,0.30889409933770284,1.66629782930766,0.909539353228986,3.052697440851023,0.09832931481800969
flag_founding_pre2000,0.29756520518295637,0.22816793373193772,1.3465761762361441,0.8610215659057024,2.1059488753912827,0.19218245220411
first_round_foreign_investor_share,0.2171403221750497,0.1723276400839725,1.2425184427959803,0.8863745758055427,1.7417603379305926,0.2076536716020092
log_investor_experience_mean,-0.04587890174101973,0.028694056196765075,0.9551576231126159,0.902922803218553,1.010414269900007,0.10984301544667734
