,coef,se,OR,OR_lo,OR_hi,p
Intercept,-2.2825919792826275,0.2685263815281597,0.10201943146501062,0.060271614987055064,0.17268434566884241,1.888759265312737e-17
"C(syndicate_cat, Treatment(reference='1'))[T.2]",-1.2201195278437573,0.20105619477827674,0.2951948808076284,0.19905334427868077,0.43777218599769535,1.290704062023852e-09
"C(syndicate_cat, Treatment(reference='1'))[T.3]",-2.2693865456961926,0.3570717368087451,0.10337557682812279,0.05134260884680723,0.20814115458045454,2.076849473752974e-10
"C(syndicate_cat, Treatment(reference='1'))[T.4+]",-3.491916146117434,0.6041899278445378,0.030442484001425595,0.00931521080469173,0.09948726353141531,7.492261662173283e-09
"C(sector_grp, Treatment(reference='Software'))[T.Agribusiness]",0.062020541991841,0.5788981493865318,1.0639842008583216,0.34211820207753596,3.3089802670585655,0.9146814852521792
"C(sector_grp, Treatment(reference='Software'))[T.Automobiles, Other Vehicles & Parts]",0.46100261424963546,0.4627729397298192,1.5856629965940394,0.6401737336487455,3.9275699807876925,0.31916535395849044
"C(sector_grp, Treatment(reference='Software'))[T.Business Support Services]",0.4409629741935853,0.5231171404244502,1.554203155651786,0.5574804850060878,4.3329722098013725,0.3992549319183901
"C(sector_grp, Treatment(reference='Software'))[T.Consumer Products]",0.12017080437271549,0.329738099474963,1.1276894494196568,0.5909026506070265,2.152103215353705,0.7155270898127908
"C(sector_grp, Treatment(reference='Software'))[T.Education/Training]",0.6563379276625342,0.35265429502603135,1.927719942624473,0.9657485396460046,3.847900384663529,0.06272484393799445
"C(sector_grp, Treatment(reference='Software'))[T.Financial Services]",-0.2848318051253139,0.31866311756561616,0.752140749900306,0.4027657954276505,1.404577335222636,0.3714109228433171
"C(sector_grp, Treatment(reference='Software'))[T.Food]",0.14615600766363146,0.3698349650206413,1.1573767336073364,0.5606226690206286,2.3893448793921284,0.6927008208102479
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare]",0.6041661330904681,0.3882475156012969,1.8297258247548307,0.8548878274859104,3.916182317884182,0.11967563536514673
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare IT]",0.046244825451072405,0.6345735385969131,1.0473307928050262,0.30194920964304794,3.6327360845034744,0.9419052384906625
"C(sector_grp, Treatment(reference='Software'))[T.Internet]",0.49920178680808697,0.30244813681839483,1.647405764729025,0.9106599991652611,2.9801965125844,0.09883318839696724
"C(sector_grp, Treatment(reference='Software'))[T.Logistics & Distribution]",0.9656078430560395,0.44306919659491734,2.6263836004177255,1.1020897773596576,6.258919153636342,0.02930484157158326
"C(sector_grp, Treatment(reference='Software'))[T.Medical Devices & Equipment]",-0.1950577427606492,0.637461923442674,0.8227871466830365,0.23587337743784983,2.8700936752609536,0.7596113414188788
"C(sector_grp, Treatment(reference='Software'))[T.Other]",0.1858653306552679,0.23838021268568738,1.2042600725421537,0.7547631399794215,1.9214535600649152,0.43556679021301425
"C(sector_grp, Treatment(reference='Software'))[T.Pharmaceuticals]",0.3311464162474786,0.4439322892797871,1.3925636713293605,0.5833634448539448,3.32422882477977,0.4557042534156177
"C(sector_grp, Treatment(reference='Software'))[T.Retail]",0.6137047671334825,0.437128107022962,1.847262414387182,0.7842318469005918,4.351236743437314,0.16033458300601555
"C(first_investment_year, Treatment(reference=2015))[T.2016]",-0.33103147894960433,0.3063036210748285,0.7181825610520882,0.3940113572506162,1.309064273168308,0.2798172828070147
"C(first_investment_year, Treatment(reference=2015))[T.2017]",0.21085273329373402,0.3019739395320837,1.2347305069767502,0.6831742602751306,2.2315820625986205,0.48502204254289283
"C(first_investment_year, Treatment(reference=2015))[T.2018]",0.0008742722264052599,0.309941411312809,1.000874654513768,0.5452015526748615,1.8373940226935885,0.9977493572627985
"C(first_investment_year, Treatment(reference=2015))[T.2019]",-0.27353065711038604,0.3333421953942012,0.7606890154712738,0.395790853643883,1.4620039167941465,0.41189115306085755
"C(first_investment_year, Treatment(reference=2015))[T.2020]",-0.14725276907912108,0.3153249006504546,0.8630757909691925,0.4652044848077784,1.6012309538780316,0.6405088620498844
"C(first_investment_year, Treatment(reference=2015))[T.2021]",0.04220023501717221,0.27728051378195456,1.043103323652958,0.605767163366951,1.7961761706729213,0.8790344822176499
"C(first_investment_year, Treatment(reference=2015))[T.2022]",0.33660946180343204,0.28137215603443694,1.4001921284372352,0.8066464342870062,2.430479963964028,0.23157403036131097
"C(first_investment_year, Treatment(reference=2015))[T.2023]",0.4776354571631878,0.285473509704279,1.612257639269461,0.9213803615660484,2.821174407238982,0.09430090442846126
"C(first_investment_year, Treatment(reference=2015))[T.2024]",0.32698946753946284,0.3187880383880341,1.3867868708253914,0.7424322884998814,2.5903747114495115,0.3050203292794814
flag_founding_pre2000,0.25384362861425175,0.22936471973894873,1.288970230446903,0.8222564403104831,2.020591355114206,0.2684129201561014
first_round_foreign_investor_share,0.1507988595137029,0.16544337210003135,1.1627627558928404,0.8407472567032587,1.6081137532259673,0.36204081664972976
top_quartile_experience,1.0408444256872427,0.19353818625562486,2.831607086850547,1.9377287717036964,4.137833329095192,7.532633125193517e-08
