,coef,se,OR,OR_lo,OR_hi,p
Intercept,-1.082604966727542,0.24265720541278535,0.3387120418223921,0.2105119012745377,0.544985089113204,8.140384516567372e-06
"C(syndicate_cat, Treatment(reference='1'))[T.2]",-0.01749312583521333,0.17367792767877407,0.9826589906016864,0.6991416825483433,1.3811487941767164,0.919771431911055
"C(syndicate_cat, Treatment(reference='1'))[T.3]",-0.019157306321926314,0.21620731759949602,0.9810250286653236,0.6421562346043393,1.4987164415849394,0.9293948897819002
"C(syndicate_cat, Treatment(reference='1'))[T.4+]",-0.5153086587694429,0.2792941795730468,0.5973161992790444,0.3455129167733867,1.032628954231458,0.0650318629950217
"C(sector_grp, Treatment(reference='Software'))[T.Agribusiness]",-1.2634580992049667,0.7565881146989423,0.28267481681418255,0.06416028945265337,1.2453973126149473,0.09493088403685915
"C(sector_grp, Treatment(reference='Software'))[T.Automobiles, Other Vehicles & Parts]",-0.09906569136600805,0.49930344047236136,0.9056832105020647,0.3403773463138413,2.409860957753086,0.8427260243107229
"C(sector_grp, Treatment(reference='Software'))[T.Business Support Services]",-0.022614609246274953,0.49602689628889207,0.9776391842822697,0.36978729169250185,2.58467069073559,0.963635845746642
"C(sector_grp, Treatment(reference='Software'))[T.Consumer Products]",-0.21364537173465598,0.3162856352617704,0.8076347443525455,0.4344974440304029,1.5012145393420548,0.49936934613079587
"C(sector_grp, Treatment(reference='Software'))[T.Education/Training]",0.211666139956996,0.30641342609829986,1.2357352535768502,0.6777992168794925,2.2529409578886224,0.4896999630609965
"C(sector_grp, Treatment(reference='Software'))[T.Financial Services]",-0.2581589624637515,0.24256049408268937,0.772472428226212,0.4801880260401534,1.2426666639117798,0.28718940395166503
"C(sector_grp, Treatment(reference='Software'))[T.Food]",-0.26776666715448805,0.35622582089295807,0.7650862800360051,0.38061410073586255,1.5379278244490389,0.4522454758363261
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare]",0.22231402638227446,0.3461140499130085,1.2489635237859456,0.6337697813126714,2.4613194408179306,0.5206690886792202
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare IT]",-0.5562467049063489,0.552582616676015,0.5733570084390062,0.19411419994678716,1.693530196225954,0.3141122073036612
"C(sector_grp, Treatment(reference='Software'))[T.Internet]",0.1413021150569119,0.24582094098848856,1.1517725632603752,0.7114095969839468,1.864720469197311,0.5654149052731271
"C(sector_grp, Treatment(reference='Software'))[T.Logistics & Distribution]",0.09914732822305876,0.43833411933798266,1.1042289716677371,0.46767225151380104,2.6072139579023235,0.8210527008654886
"C(sector_grp, Treatment(reference='Software'))[T.Medical Devices & Equipment]",-1.6299963086844667,0.7634954679519846,0.1959302973661246,0.0438733841716719,0.8749879260685062,0.03276812701016935
"C(sector_grp, Treatment(reference='Software'))[T.Other]",-0.001130767745476587,0.20594952165543218,0.9988698713314653,0.6671156697469955,1.49560423341897,0.9956192294805069
"C(sector_grp, Treatment(reference='Software'))[T.Pharmaceuticals]",0.2602383100977175,0.37436064701465116,1.2972391950318174,0.6228132539299502,2.701980920457532,0.4869587816514266
"C(sector_grp, Treatment(reference='Software'))[T.Retail]",0.5933970558915964,0.36595647510466983,1.8101270856724196,0.8834879419937355,3.7086641600233183,0.10491125132182388
"C(first_investment_year, Treatment(reference=2015))[T.2016]",-0.0433147576021635,0.18984249469038003,0.9576099276210953,0.6600722058152653,1.3892673640845972,0.819520652733987
"C(first_investment_year, Treatment(reference=2015))[T.2017]",-0.2867708356322823,0.22267958736286497,0.7506837390914295,0.4851860628538236,1.1614638574357976,0.19780923926737037
"C(first_investment_year, Treatment(reference=2015))[T.2018]",-0.6158588068017904,0.23204469881660822,0.5401767885486454,0.34278000703911365,0.8512484885194386,0.007953145817035906
"C(first_investment_year, Treatment(reference=2015))[T.2019]",-0.8698050082638605,0.24057817296898198,0.41903324930274405,0.2614954939215797,0.6714795019522335,0.00029979433652898516
"C(first_investment_year, Treatment(reference=2015))[T.2020]",-1.3015370681506162,0.27079927939873705,0.27211321486890305,0.1600444554509406,0.4626564631536858,1.5376477437069097e-06
"C(first_investment_year, Treatment(reference=2015))[T.2021]",-1.2556334105415796,0.24372295474071456,0.28489533535245176,0.17669496373711543,0.4593529458278321,2.578767841498934e-07
"C(first_investment_year, Treatment(reference=2015))[T.2022]",-2.643589692062488,0.471693389287488,0.07110556380053443,0.028209154245911347,0.17923264055761937,2.0889765914184437e-08
"C(first_investment_year, Treatment(reference=2015))[T.2023]",-2.5018515150378664,0.47341154019295983,0.08193315762588627,0.032395422928042816,0.20722193790954457,1.258912417563802e-07
"C(first_investment_year, Treatment(reference=2015))[T.2024]",-2.744684586546277,0.6001635158590235,0.06426856891922776,0.019821162922080995,0.20838580295024783,4.802670615600843e-06
flag_founding_pre2000,1.0264906544862964,0.1821011979772661,2.7912531549909194,1.9534016846512028,3.9884752001931076,1.7311423851087596e-08
first_round_foreign_investor_share,0.4759999721915713,0.15161835479089797,1.6096229711973504,1.1958150424654908,2.166627795603228,0.0016925871258555636
log_investor_experience_mean,-0.04979973122629958,0.03098569457343882,0.9514199451280959,0.8953579535270845,1.0109922053204465,0.10801387861721735
