,coef,se,OR,OR_lo,OR_hi,p
Intercept,-2.590128154886015,0.2986494375452694,0.07501042651666703,0.04177445308623225,0.13468911429187977,4.216058386809061e-18
"C(syndicate_cat, Treatment(reference='1'))[T.2]",-0.9721306852592709,0.19303062395666112,0.3782761913355745,0.25912006425955036,0.5522261556249756,4.7499471157022013e-07
"C(syndicate_cat, Treatment(reference='1'))[T.3]",-1.9805152993261028,0.3502110155350042,0.13799810865379944,0.06946610961619522,0.27414055713271246,1.556598183855964e-08
"C(syndicate_cat, Treatment(reference='1'))[T.4+]",-3.1252645586357635,0.597786410038647,0.04392531126565372,0.013610627021151487,0.14175930078652113,1.712958497877684e-07
"C(sector_grp, Treatment(reference='Software'))[T.Agribusiness]",0.1638187013823737,0.5699537164027685,1.1780007258284326,0.38547842430639967,3.5999050077814583,0.7737872510208668
"C(sector_grp, Treatment(reference='Software'))[T.Automobiles, Other Vehicles & Parts]",0.4575837112238938,0.46051751444075906,1.58025102535127,0.6408152844785768,3.8969003449343034,0.32040335754892213
"C(sector_grp, Treatment(reference='Software'))[T.Business Support Services]",0.46345587358318696,0.5224241208355916,1.5895578146863123,0.5709368973759222,4.425522431363677,0.37501121890368727
"C(sector_grp, Treatment(reference='Software'))[T.Consumer Products]",0.18716233815942393,0.32778427167594393,1.2058230202515474,0.6342684261679716,2.2924192600176854,0.5680047735250153
"C(sector_grp, Treatment(reference='Software'))[T.Education/Training]",0.7247745671896509,0.3495848132934457,2.0642656942928315,1.0403954940373357,4.095743283257,0.03814959058036407
"C(sector_grp, Treatment(reference='Software'))[T.Financial Services]",-0.21966860490110718,0.31702430830271927,0.8027847928311561,0.43126831956066125,1.4943444588220294,0.48836743639151414
"C(sector_grp, Treatment(reference='Software'))[T.Food]",0.2694135852940644,0.3652329096897527,1.309196493507797,0.6399087034479364,2.6784999944176624,0.4607279463005388
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare]",0.6349449542563016,0.3872103874438445,1.8869182717804038,0.8834032864716743,4.030390897230276,0.1010481757955312
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare IT]",-0.01689064718951136,0.6351442199931872,0.9832512000383873,0.2831579405030346,3.4142885792269264,0.9787840338079188
"C(sector_grp, Treatment(reference='Software'))[T.Internet]",0.5560126438250923,0.3001793627325083,1.7437058439920625,0.9681888710345848,3.1404100597882834,0.06398734077886636
"C(sector_grp, Treatment(reference='Software'))[T.Logistics & Distribution]",0.9794870110917159,0.44031675688715355,2.6630897559567392,1.1235373156051314,6.312248778726131,0.0261144584241062
"C(sector_grp, Treatment(reference='Software'))[T.Medical Devices & Equipment]",-0.1561819458129592,0.6342254638186702,0.8554035391190679,0.2467841988829114,2.9650002635889767,0.805483921729707
"C(sector_grp, Treatment(reference='Software'))[T.Other]",0.22805180928723126,0.23685671243251677,1.2561504040035791,0.7896394606820717,1.9982712567522787,0.335634833024828
"C(sector_grp, Treatment(reference='Software'))[T.Pharmaceuticals]",0.30194596245961963,0.4442724956600798,1.3524881396023185,0.5661976094794722,3.23071686835029,0.4967315753555388
"C(sector_grp, Treatment(reference='Software'))[T.Retail]",0.6346943079740285,0.4342375747503531,1.8864453819971376,0.8054165360740212,4.418429495630904,0.14384285513874623
"C(first_investment_year, Treatment(reference=2015))[T.2016]",-0.27445915529707743,0.30458091435215406,0.7599830448966904,0.4183542247015932,1.3805865805285493,0.367532895362508
"C(first_investment_year, Treatment(reference=2015))[T.2017]",0.25081374589476324,0.30052214920563475,1.285070712344186,0.7130534880313,2.3159647395937064,0.4039467851566826
"C(first_investment_year, Treatment(reference=2015))[T.2018]",0.02735605381310309,0.3089548978898595,1.0277336661167784,0.5609158308235744,1.8830570121706076,0.9294444398906231
"C(first_investment_year, Treatment(reference=2015))[T.2019]",-0.23080436927334805,0.3324763729875876,0.7938947610534989,0.41376955687367795,1.5232365000226697,0.4875581672134979
"C(first_investment_year, Treatment(reference=2015))[T.2020]",-0.0974368100813259,0.31428645200951855,0.9071596630900461,0.4899622474584331,1.67959604766786,0.7565415754044522
"C(first_investment_year, Treatment(reference=2015))[T.2021]",0.13316692063231617,0.27525810907668835,1.142440679336733,0.6660909477308126,1.9594481958503285,0.6285354283398608
"C(first_investment_year, Treatment(reference=2015))[T.2022]",0.46895908190023244,0.27683962524096956,1.5983295968066842,0.9290092223241512,2.7498731321924845,0.09027025493920118
"C(first_investment_year, Treatment(reference=2015))[T.2023]",0.5731391247898444,0.2828093187893852,1.7738265838376,1.0190216959940865,3.0877269462447527,0.04270414749368174
"C(first_investment_year, Treatment(reference=2015))[T.2024]",0.4695578148095189,0.31449974446257994,1.5992868558788371,0.8634231725652877,2.9622999806545196,0.1354291166848533
flag_founding_pre2000,0.2020281450573017,0.2289972366579128,1.2238824538684117,0.7812983503868257,1.9171783226540167,0.3776526473067743
first_round_foreign_investor_share,0.05574249997525894,0.16687047663237903,1.0573253873665487,0.7623743093329941,1.4663885719705219,0.7383444642152408
log_investor_experience_mean,0.09752290891012051,0.03330896055879145,1.1024366968972417,1.0327638374531523,1.1768098635820328,0.0034133876531019644
