,coef,se,OR,OR_lo,OR_hi,p
Intercept,-2.594465818230369,0.2989981738261043,0.07468576119261577,0.04156522202529039,0.1341978378348735,4.056449670141246e-18
"C(sector_grp, Treatment(reference='Software'))[T.Agribusiness]",0.16817685252721348,0.5710862678635923,1.1831458344772734,0.38630360989729934,3.623662916360207,0.7683866375645478
"C(sector_grp, Treatment(reference='Software'))[T.Automobiles, Other Vehicles & Parts]",0.46718415401855223,0.4608764872462021,1.5954951932162957,0.6465419711498863,3.937261655339871,0.3107324913592513
"C(sector_grp, Treatment(reference='Software'))[T.Business Support Services]",0.47722962488134646,0.5227960047516912,1.6116034658241298,0.578433485958998,4.490171807308634,0.3613261743351839
"C(sector_grp, Treatment(reference='Software'))[T.Consumer Products]",0.1835574828746055,0.328087739316625,1.2014840281824426,0.6316103119934806,2.2855292932462583,0.5758363512079028
"C(sector_grp, Treatment(reference='Software'))[T.Education/Training]",0.7450179453527861,0.3496390306389653,2.106479236154578,1.0615584218436775,4.179944015369313,0.033103949025372344
"C(sector_grp, Treatment(reference='Software'))[T.Financial Services]",-0.22097010036053635,0.31706416071536336,0.8017406516882543,0.4306737499670393,1.492517416301089,0.4858494152513768
"C(sector_grp, Treatment(reference='Software'))[T.Food]",0.27688949360911647,0.36621061659650955,1.3190206027746314,0.6434762721920257,2.7037754548698536,0.4495930950094138
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare]",0.6418264681513559,0.38766948427328535,1.8999479064741802,0.8887033764516178,4.061875022607324,0.09780239542687451
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare IT]",-0.012521876059011767,0.6348527235974201,0.987556196419946,0.28456022808768555,3.4272788141950326,0.9842634938290812
"C(sector_grp, Treatment(reference='Software'))[T.Internet]",0.5567593195857103,0.30036241719034396,1.7450083130799545,0.9685645001008923,3.1438835641828247,0.06379281217350552
"C(sector_grp, Treatment(reference='Software'))[T.Logistics & Distribution]",0.9944401359881763,0.4406068538599412,2.7032104872745975,1.1398156867905795,6.4109899724989114,0.024009426772898176
"C(sector_grp, Treatment(reference='Software'))[T.Medical Devices & Equipment]",-0.14936235473657902,0.6344779904888207,0.861256977804877,0.24834996829831402,2.986767370658956,0.8138906586010675
"C(sector_grp, Treatment(reference='Software'))[T.Other]",0.22298083878573563,0.23707524836275484,1.2497966258856141,0.7853089202499257,1.9890154890612473,0.3469361337943655
"C(sector_grp, Treatment(reference='Software'))[T.Pharmaceuticals]",0.288978989135726,0.4443359375618261,1.3350636773920972,0.5588336441686309,3.1894912578918806,0.5154587367205826
"C(sector_grp, Treatment(reference='Software'))[T.Retail]",0.6288070238250602,0.4340623725699348,1.8753719701466345,0.8009637463251199,4.390985288095765,0.14743369744270438
"C(first_investment_year, Treatment(reference=2015))[T.2016]",-0.2760220924744881,0.30508492348526245,0.7587961668911057,0.4172884562449127,1.3797928369978822,0.3656039110802739
"C(first_investment_year, Treatment(reference=2015))[T.2017]",0.2515657182171073,0.30088707016333927,1.2860374133727799,0.7130796863744088,2.3193652269126055,0.40310979313640727
"C(first_investment_year, Treatment(reference=2015))[T.2018]",0.02362746883036299,0.3092119320268705,1.0239088088868598,0.5585468483530543,1.8769942969106628,0.9390914086263644
"C(first_investment_year, Treatment(reference=2015))[T.2019]",-0.23484313367947346,0.3326577830156967,0.7906948732963462,0.41195530951496734,1.5176364237014646,0.4802129285061426
"C(first_investment_year, Treatment(reference=2015))[T.2020]",-0.11795430811694732,0.3141785016302567,0.8887366597384238,0.4801134465488343,1.6451379482092294,0.707335316799305
"C(first_investment_year, Treatment(reference=2015))[T.2021]",0.11764200650867265,0.27512723595783856,1.124841353395986,0.6559980470274743,1.9287680444218176,0.6689487169230417
"C(first_investment_year, Treatment(reference=2015))[T.2022]",0.45822491738712734,0.27712260158116037,1.5812646169740514,0.9185808070423398,2.72202267859799,0.09822716805506039
"C(first_investment_year, Treatment(reference=2015))[T.2023]",0.5653667247895242,0.28311298094212706,1.7600931341655661,1.0105305385047065,3.065644948762067,0.04582898107389847
"C(first_investment_year, Treatment(reference=2015))[T.2024]",0.45917134192030845,0.31494140870158205,1.5827618730091688,0.8537622870211031,2.9342302708078862,0.1448521239664537
np.log(first_round_syndicate_size),-1.7261348363208928,0.20435449036060685,0.1779709692093464,0.11923460244520714,0.26564156068595435,2.994797028471332e-17
flag_founding_pre2000,0.204391965529694,0.22948450855159838,1.2267789142761722,0.7823998075454411,1.9235517314786863,0.37311325294950337
first_round_foreign_investor_share,0.037737330714811106,0.16664801911516525,1.0384584259186274,0.7490970097354375,1.4395944561869973,0.8208519716885345
log_investor_experience_mean,0.10816360856540834,0.032898933898874376,1.1142300280509827,1.0446510257504114,1.1884433411805364,0.0010098996584794193
