,coef,se,OR,OR_lo,OR_hi,p
Intercept,-2.7225647026250135,0.404377560955283,0.06570602173787744,0.02974393128398941,0.1451483077807651,1.6650953944587542e-11
"C(syndicate_cat, Treatment(reference='1'))[T.2]",-1.092177387344724,0.23008804187712517,0.3354852165939306,0.21370864518607455,0.5266531471156901,2.066802233112667e-06
"C(syndicate_cat, Treatment(reference='1'))[T.3]",-2.210149789272012,0.42158761135147654,0.10968421776583674,0.04800518160246038,0.25061102208780933,1.5846278916648015e-07
"C(syndicate_cat, Treatment(reference='1'))[T.4+]",-3.0918579618128215,0.6060642216696358,0.04541749199918817,0.013846510762367327,0.14897244619218822,3.369093382600552e-07
"C(sector_grp, Treatment(reference='Software'))[T.Agribusiness]",0.6186868880265076,0.6091388378572002,1.8564886631159532,0.5625904849212886,6.1262148021580245,0.30978433406481465
"C(sector_grp, Treatment(reference='Software'))[T.Automobiles, Other Vehicles & Parts]",0.40019760558445444,0.5890293835427216,1.4921195196608308,0.4703497218205428,4.7335430588440675,0.49687257492327275
"C(sector_grp, Treatment(reference='Software'))[T.Business Support Services]",0.7180579097057821,0.683566443086043,2.050447187706452,0.5370265739361666,7.828911777600496,0.29350754358764797
"C(sector_grp, Treatment(reference='Software'))[T.Consumer Products]",0.4687763858350337,0.3857916145945911,1.5980376149512372,0.7502406297014084,3.403873527637935,0.22432697009761848
"C(sector_grp, Treatment(reference='Software'))[T.Education/Training]",1.0780600942338623,0.408718736375793,2.938972687403535,1.3191480230497705,6.547832621038669,0.008348081685498868
"C(sector_grp, Treatment(reference='Software'))[T.Financial Services]",0.027135352468611443,0.3786862994348797,1.0275068689430285,0.4891548583676793,2.1583560863490856,0.9428752379967262
"C(sector_grp, Treatment(reference='Software'))[T.Food]",0.7093060184029433,0.41920353598957094,2.032580195827122,0.8937601625721604,4.622473036366802,0.09063977191430089
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare]",0.7545078882829914,0.5477581047241257,2.1265647583791925,0.726818659553196,6.222016471564412,0.1683740168065737
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare IT]",0.0762429679554169,0.778706254012929,1.079224759337907,0.23457187275139288,4.9653271191741695,0.9220039238499083
"C(sector_grp, Treatment(reference='Software'))[T.Internet]",0.8167958032015231,0.3363504286006677,2.26323635225462,1.1706522556787702,4.375542575789777,0.015165305522428871
"C(sector_grp, Treatment(reference='Software'))[T.Logistics & Distribution]",1.646991822036003,0.5010755207168888,5.191339840929773,1.9442996748675787,13.861036800235155,0.0010129199358038085
"C(sector_grp, Treatment(reference='Software'))[T.Medical Devices & Equipment]",0.6862045555525008,0.789527055446183,1.9861628386755013,0.4226376704925482,9.333864672162674,0.38477401656476273
"C(sector_grp, Treatment(reference='Software'))[T.Other]",0.13945625799286593,0.30064954486319684,1.1496485166845805,0.6377518495113915,2.0724231735708165,0.6427552972525676
"C(sector_grp, Treatment(reference='Software'))[T.Retail]",1.0375496621410623,0.5586501823978058,2.8222929633866745,0.9442308716473159,8.43579447607503,0.0632764570970277
"C(first_investment_year, Treatment(reference=2015))[T.2016]",-0.4512275141057596,0.4444918400901456,0.63684593426107,0.2664908121103347,1.5219014148110162,0.31003259063261634
"C(first_investment_year, Treatment(reference=2015))[T.2017]",-0.5469303480570635,0.5093233137173944,0.5787235665010522,0.21327226300779512,1.5703915816350498,0.28289563016612596
"C(first_investment_year, Treatment(reference=2015))[T.2018]",-0.5912282332080501,0.48282163721149723,0.5536468595012398,0.21490885884076696,1.4263015805351227,0.22075340744664362
"C(first_investment_year, Treatment(reference=2015))[T.2019]",-0.14117076873947113,0.4091085724868243,0.8683410135353706,0.3894542664621159,1.9360838504538032,0.7300423460887029
"C(first_investment_year, Treatment(reference=2015))[T.2020]",-0.34983151919696237,0.41214913241346124,0.7048068261360829,0.3142303463275934,1.5808551528315502,0.39599348733402784
"C(first_investment_year, Treatment(reference=2015))[T.2021]",-0.04898586209236536,0.35997131570681323,0.9521945916425296,0.4702378368851343,1.9281190691908499,0.8917559179081568
"C(first_investment_year, Treatment(reference=2015))[T.2022]",0.2124971471777128,0.3676318837402357,1.2367625852963846,0.6016688280747181,2.5422319073492807,0.56325325042257
"C(first_investment_year, Treatment(reference=2015))[T.2023]",0.610861025488234,0.36613584207851213,1.8420167395367903,0.8987485004476483,3.775278253086098,0.09523635555968936
"C(first_investment_year, Treatment(reference=2015))[T.2024]",0.6347964692904554,0.39251513338528754,1.8866381135854189,0.8741362215874346,4.071909255938689,0.10582357438277991
first_round_foreign_investor_share,0.05065088989917968,0.21231373626619743,1.0519555808518049,0.6938660236512207,1.594847573400579,0.8114419453729366
log_investor_experience_mean,0.125880681981879,0.04097773593765535,1.1341468360566624,1.046619865096212,1.2289935330236583,0.002126805391424822
