,coef,se,OR,OR_lo,OR_hi,p
Intercept,-1.1521926268707918,0.29929932480570426,0.3159432636677031,0.1757296535817284,0.5680324511114759,0.00011829482514780703
"C(sector_grp, Treatment(reference='Software'))[T.Agribusiness]",0.1890251607255287,0.5672760106532724,1.2080713480521204,0.39739863271426074,3.672474593121807,0.738971617163682
"C(sector_grp, Treatment(reference='Software'))[T.Automobiles, Other Vehicles & Parts]",0.48643280185814924,0.4566428832442642,1.6265037977630044,0.6645994151286678,3.980615305876095,0.2867687862585939
"C(sector_grp, Treatment(reference='Software'))[T.Business Support Services]",0.44926855578500197,0.5226550144284082,1.5671654720443646,0.5626393462962146,4.365154397636126,0.3900155831477715
"C(sector_grp, Treatment(reference='Software'))[T.Consumer Products]",0.20133783676832412,0.3261197472324379,1.2230378892043041,0.6454257370706844,2.317573645603636,0.536988099755529
"C(sector_grp, Treatment(reference='Software'))[T.Education/Training]",0.6570649682556869,0.3466264956439959,1.9291219828833235,0.9779365588588156,3.8054734646452255,0.05801304008061562
"C(sector_grp, Treatment(reference='Software'))[T.Financial Services]",-0.2043790272892552,0.31622815438463103,0.8151533472632017,0.4385967641165961,1.515002010771239,0.5180835089925888
"C(sector_grp, Treatment(reference='Software'))[T.Food]",0.2747533112746905,0.36307567809015917,1.3162059416492664,0.6460606194497965,2.681479150219976,0.4492065983707706
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare]",0.6332071446493014,0.3871810827420789,1.8836420146601487,0.8819200855608459,4.0231618459359275,0.10195916146591007
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare IT]",-0.006266800922618579,0.63248351669208,0.9937527945193374,0.28767850787806126,3.432806377852824,0.9920944945489616
"C(sector_grp, Treatment(reference='Software'))[T.Internet]",0.5479783837043389,0.2981137698647334,1.7297525847804254,0.9643375707661382,3.102693595332463,0.06604002961346306
"C(sector_grp, Treatment(reference='Software'))[T.Logistics & Distribution]",0.9316906790442259,0.44107190814760994,2.5387978435290846,1.0695153741112138,6.026556182667548,0.03465791047851053
"C(sector_grp, Treatment(reference='Software'))[T.Medical Devices & Equipment]",-0.172366700518963,0.6321439974560265,0.8416704755719866,0.2438148462529415,2.9055211376039303,0.7851069016273426
"C(sector_grp, Treatment(reference='Software'))[T.Other]",0.22455913365906327,0.23625142693101672,1.2517707309431039,0.7878203838193437,1.9889431589080937,0.341853626925555
"C(sector_grp, Treatment(reference='Software'))[T.Pharmaceuticals]",0.27358332318616024,0.44579211517444367,1.314666896883069,0.5487275826183917,3.149739696905532,0.5394125474380571
"C(sector_grp, Treatment(reference='Software'))[T.Retail]",0.6087214846751616,0.4313628442917024,1.838079882579048,0.7892010657587675,4.280959316107302,0.1581977878787405
years_since_first_investment,-0.06562838145869089,0.025255460399227016,0.9364788125258846,0.8912519010378122,0.9840007805746984,0.009360972034848066
flag_founding_pre2000,0.17441622714255528,0.23276308534015835,1.1905510023479184,0.7544313162528838,1.8787816182282124,0.45365868131467935
first_round_syndicate_size,-0.9894648834620853,0.12503403747142405,0.37177558106444464,0.2909723324716765,0.47501795618062637,2.5012275021317947e-15
first_round_foreign_investor_share,0.04525843681196729,0.16618609413548135,1.0462982269489538,0.7554359173128822,1.4491500266634945,0.7853637672960325
first_round_corporate_vc_flag,-0.035903904531344386,0.6212198827850668,0.9647329954982599,0.28551163396684415,3.259796246030125,0.9539112780229552
first_round_late_stage_pe_flag,0.17653561371345994,0.24202380674870452,1.1930769159024137,0.7424332354639402,1.9172532414577648,0.46574830306666437
log_investor_experience_mean,0.10348456350157852,0.032558992406280025,1.1090286737135633,1.0404674788075583,1.1821076815668086,0.0014810500866116033
