,coef,OR,OR_lo,OR_hi,p
Intercept,-4.269576416639176,0.01398770685853961,0.004217889296175365,0.046387168894605625,2.9468151307440304e-12
"C(sector_grp, Treatment(reference='Software'))[T.Automobiles, Other Vehicles & Parts]",0.7342066641100358,2.083828160901224,0.5258524025732826,8.257716011024273,0.29598440974618734
"C(sector_grp, Treatment(reference='Software'))[T.Business Support Services]",0.770820743239607,2.161539594966187,0.5479780756307829,8.526351013639209,0.2709493897328875
"C(sector_grp, Treatment(reference='Software'))[T.Consumer Products]",-0.17776249896761231,0.8371412217848615,0.2522214518637607,2.778532198720337,0.7714978201876652
"C(sector_grp, Treatment(reference='Software'))[T.Education/Training]",-0.4754230844929869,0.6216220021922252,0.133800183886441,2.887992395716199,0.5440801763658336
"C(sector_grp, Treatment(reference='Software'))[T.Financial Services]",-1.2570352665322493,0.28449623292729653,0.07630811362335427,1.0606749755251619,0.06117477819516098
"C(sector_grp, Treatment(reference='Software'))[T.Food]",-0.13963404448374278,0.8696764400614782,0.23024502666867444,3.284922681463104,0.8368447494610461
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare]",0.1991218922152948,1.2203307056476833,0.35386356854502793,4.208421446914438,0.752569980474681
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare IT]",-0.16823338981229952,0.8451565607336157,0.10519420963484817,6.790198953255386,0.874265968586494
"C(sector_grp, Treatment(reference='Software'))[T.Internet]",-0.8024198348014834,0.44824297673748964,0.12184847521444163,1.6489477265996364,0.22727623236860728
"C(sector_grp, Treatment(reference='Software'))[T.Logistics & Distribution]",-0.540447757739556,0.5824873807417811,0.07181305098177314,4.7246502423290195,0.612830475563491
"C(sector_grp, Treatment(reference='Software'))[T.Medical Devices & Equipment]",-0.5599478189401427,0.5712388709208421,0.06865687550152111,4.752821116126805,0.6044588893690435
"C(sector_grp, Treatment(reference='Software'))[T.Other]",-0.02571108398581831,0.974616631288308,0.44390682581023994,2.1398129579332505,0.9489081509794297
"C(sector_grp, Treatment(reference='Software'))[T.Pharmaceuticals]",-1.221192875107976,0.2948782041723052,0.035324983024909294,2.461520087201995,0.25933789399983964
"C(sector_grp, Treatment(reference='Software'))[T.Retail]",0.1481243657337068,1.1596571090024421,0.2461596282491912,5.46314040212368,0.8514141628719737
years_since_first_investment,0.22236382830978663,1.2490257261257078,1.1252010141423632,1.3864769449332088,2.9866124884385756e-05
flag_founding_pre2000,0.6282333898064043,1.8742965014791224,0.93700875119938,3.749151084192353,0.07572791562097053
first_round_syndicate_size,-0.4558953080475422,0.633880195780199,0.4305370978483876,0.9332624403573175,0.020892559400983907
first_round_foreign_investor_share,0.24550592009162897,1.278267851031178,0.7079776050050047,2.3079383972439573,0.41542015209572236
first_round_corporate_vc_flag,0.6477751305094868,1.9112837381574386,0.4266677293248498,8.561710381812828,0.39717416923197557
first_round_late_stage_pe_flag,0.36951102174370276,1.44702687696414,0.7083959530450132,2.955814151190586,0.3106057984965308
log_investor_experience_mean,-0.02466519177695751,0.9756365084774321,0.8586591732601864,1.1085499652440154,0.7050497804459739
