,coef,OR,OR_lo,OR_hi,p
Intercept,-1.0784473502596503,0.3401232080966586,0.18431624496486235,0.6276375514703906,0.000560388375867972
"C(sector_grp, Treatment(reference='Software'))[T.Agribusiness]",0.33944926580838947,1.4041740509149678,0.4549264441916,4.3341177248261555,0.5549897636590376
"C(sector_grp, Treatment(reference='Software'))[T.Automobiles, Other Vehicles & Parts]",0.32911427270241156,1.3897366554774533,0.45396215249689703,4.254469146722225,0.5642580659593445
"C(sector_grp, Treatment(reference='Software'))[T.Business Support Services]",0.35740152279049786,1.429609775534457,0.4616278274595507,4.4273416564835735,0.5354631252229638
"C(sector_grp, Treatment(reference='Software'))[T.Consumer Products]",0.2189521483045435,1.2447717108255596,0.6216313570085934,2.4925650783253053,0.5365528097156635
"C(sector_grp, Treatment(reference='Software'))[T.Education/Training]",0.7463859009178307,2.109362777977203,1.038953647473792,4.282588871923607,0.03885428151795763
"C(sector_grp, Treatment(reference='Software'))[T.Financial Services]",-0.05581858072497374,0.9457106904761222,0.49100003530874287,1.8215247367924141,0.8674478810127743
"C(sector_grp, Treatment(reference='Software'))[T.Food]",0.38096754563217966,1.4637001011774105,0.6774132788536336,3.162645393979156,0.33246420218376327
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare]",1.0214919477920767,2.7773353137434036,1.267736693646045,6.084537493966252,0.010684845987184582
"C(sector_grp, Treatment(reference='Software'))[T.Healthcare IT]",0.11607280686638069,1.123077636920146,0.3218684678550001,3.918691964316149,0.8555476650568158
"C(sector_grp, Treatment(reference='Software'))[T.Internet]",0.6849729808255222,1.983718236383917,1.0906029341498604,3.6082224961457774,0.024825230707416598
"C(sector_grp, Treatment(reference='Software'))[T.Logistics & Distribution]",1.2146466562336424,3.369103402292078,1.386417377499082,8.187186571342274,0.007336784902021645
"C(sector_grp, Treatment(reference='Software'))[T.Medical Devices & Equipment]",0.23523494254051194,1.2652059845254833,0.36120745414578737,4.431653236682703,0.7130218776259012
"C(sector_grp, Treatment(reference='Software'))[T.Other]",0.2161300341618072,1.2412637752015245,0.7557849097203134,2.0385902653146477,0.3932017633705831
"C(sector_grp, Treatment(reference='Software'))[T.Pharmaceuticals]",0.3083559843563254,1.3611854634304024,0.43548957876281297,4.254581409543603,0.5958946269706357
"C(sector_grp, Treatment(reference='Software'))[T.Retail]",0.9375494260776807,2.5537156750930263,1.0765631339792614,6.057669581449237,0.03339007291283244
years_since_first_investment,-0.09591051049376204,0.9085453177027064,0.8604551630691033,0.9593231928265148,0.0005470373060350464
first_round_syndicate_size,-1.0120732961979655,0.3634646280132782,0.2816406681072328,0.46906058242459503,7.402629692415637e-15
first_round_foreign_investor_share,0.07301703840365341,1.0757488658019607,0.7557482485645838,1.5312448615953511,0.6852280174376737
first_round_corporate_vc_flag,-0.3109714069404275,0.7327348267003575,0.1680846639686866,3.1942255383847815,0.6788970349684129
first_round_late_stage_pe_flag,0.26924253059200465,1.308972568443926,0.7436461811529677,2.3040650626110604,0.3506764544988983
log_investor_experience_mean,0.10545465530608075,1.1112157156439224,1.0391036945473806,1.1883321878014272,0.0020667767210210933
